iter	Logloss	Accuracy
955	0.00240383029	1
956	0.002400589138	1
957	0.002397530228	1
958	0.002396642864	1
959	0.002392966151	1
960	0.002392215729	1
961	0.002390985638	1
962	0.002390952706	1
963	0.002390851527	1
964	0.002390851229	1
965	0.002390831113	1
966	0.002390739471	1
967	0.002389661968	1
968	0.002387439609	1
969	0.00238688007	1
970	0.002386463881	1
971	0.002385646403	1
972	0.002384893	1
973	0.002383813262	1
974	0.002383491546	1
975	0.002380399406	1
976	0.002380394787	1
977	0.002380355	1
978	0.002380319536	1
979	0.002380289435	1
980	0.002321080863	1
981	0.002319971621	1
982	0.002319836915	1
983	0.002319489717	1
984	0.002319443822	1
985	0.002318733186	1
986	0.002318387032	1
987	0.002318349779	1
988	0.002317151129	1
989	0.002315482348	1
990	0.002307502925	1
991	0.002301034182	1
992	0.002300461829	1
993	0.002300290167	1
994	0.002300283313	1
995	0.00230022192	1
996	0.002299373597	1
997	0.002299354374	1
998	0.002299037874	1
999	0.002298457921	1
